Repo Type,Repo Name,Filename,ML TD Type,ML Pipeline Stage,NLC,CS,TFI,ANL,ANC,AVT,AVM
Application,mozilla/bugbug,scripts/commit_classifier.py,UMC ,Other,0.0075107296137339056,0.014705882352941178,0.10897900072411296,0.3313840155945419,0.22246455834242096,0.26197339246119733,0.06451612903225806
Application,mozilla/bugbug,scripts/test_scheduling_history_retriever.py,DS Configuration,Data Acq,0.011802575107296136,0.006221719457013575,0.11965966690803764,0.1595655806182122,0.13740458015267176,0.11818181818181818,0.021505376344086023
Application,Calysto/conx,conx/__init__.py,Weight Conf,Training,0.35193133047210295,0.003393665158371041,0.004706734250543084,0.05987190197716513,0.04689203925845147,0.06430155210643015,0.2688172043010753
Application,SMTorg/smt,smt/surrogate_models/surrogate_model.py,Proto,Modeling,0.03540772532188841,0.0005656108597285068,0.09160028964518464,0.04845446950710108,0.03271537622682661,0.047597930524759795,0.0
Application,HewlettPackard/dlcookbook-dlbs,python/pytorch_benchmarks/dataset_factory.py,DS Configuration,Data Acq,0.31437768240343344,0.028846153846153848,0.11368573497465603,0.10303536619326092,0.07197382769901854,0.09042867701404286,0.23655913978494625
Application,alan-turing-institute/sktime,sktime/transformers/series_to_series.py,MCR,Training,0.1427038626609442,0.006787330316742082,0.029869659666908036,0.018657755499860762,0.022900763358778626,0.02080561714708056,0.021505376344086023
Tool,openml/openml-python,openml/flows/flow.py,CDT,Data Pre,0.045064377682403435,0.0016968325791855204,0.037110789283128165,0.04873294346978557,0.025081788440567066,0.03532889874353289,0.05376344086021506
Tool,microsoft/NimbusML,src/python/nimbusml/pipeline.py,MCM,Prediction,0.030042918454935622,0.04242081447963801,0.4580014482259232,0.9905318852687273,0.9869138495092694,0.7521064301552106,0.5591397849462366
Tool,menpo/menpo,pybug/transform/modeldriven.py,MLKnow,Modeling,0.15987124463519314,0.006787330316742082,0.05629978276611151,0.0,0.0,0.0,0.0
Tool,menpo/menpo,menpo/shape/mesh/base.py,MDepend,Modeling,0.001072961373390558,0.0016968325791855204,0.0944967414916727,0.3795600111389585,0.05561613958560524,0.3085735402808574,0.010752688172043012
Tool,CPJKU/madmom,madmom/features/beats.py,MCC,Modeling,0.15665236051502146,0.01244343891402715,0.03240405503258508,0.2684489000278474,0.13304252998909488,0.2441980783444198,0.13978494623655915
Tool,CPJKU/madmom,madmom/audio/signal.py,MCM,Data Acq,0.01931330472103004,0.0016968325791855204,0.07675597393193338,0.45892509050403785,0.33478735005452565,0.26821877309682185,0.13978494623655915
Tool,nyu-mll/jiant,src/tasks/tasks.py,UMC,Data Acq,0.6695278969957081,0.0016968325791855204,0.09540188269370022,0.6861598440545809,0.48964013086150493,0.823429416112343,1.0
